,model,method,mean_tbc,std_tbc,mean_wiki,std_wiki,self n=2,self n=3,self n=4,WT103 n=2,WT103 n=3,WT103 n=4,TBC n=2,TBC n=3,TBC n=4
172,"/max_iter=100,std_len=5,init_mask_prob=1,temperature=0.1,sample=True,top_k=0",Parallel-015,0.139,0.062,0.065,0.012,0.1394513389941215,0.2753524715474775,0.4085603112840467,0.14696276943174397,0.34958382877526756,0.5130880792359391,0.1518615284128021,0.364192288092407,0.5290060134418111
173,"/max_iter=100,std_len=5,init_mask_prob=1,temperature=0.1,sample=True,top_k=100",Parallel-015,0.075,0.034,0.069,0.012,0.09705317104420244,0.20363575717144763,0.33327535223517135,0.10906470211402947,0.2780186791194129,0.4383371021047139,0.12187700192184497,0.29853235490326885,0.46094973038789355
174,"/max_iter=100,std_len=5,init_mask_prob=1,temperature=1,sample=False,top_k=0",Parallel-015,0.098,0.07,0.066,0.013999999999999999,0.0,0.0,0.0,0.024793388429752067,0.05301204819277108,0.0725314183123878,0.029586776859504133,0.05748709122203098,0.07648114901256732
175,"/max_iter=100,std_len=5,init_mask_prob=1,temperature=1,sample=True,top_k=0",Parallel-015,0.052000000000000005,0.003,0.054000000000000006,0.002,0.7168409466153,0.932459390139641,0.9864066193853428,0.597138139790864,0.8927044742091764,0.9747340425531915,0.6286461199779857,0.9119407238529496,0.9864066193853428
176,"/max_iter=100,std_len=5,init_mask_prob=1,temperature=1,sample=True,top_k=100",Parallel-015,0.07400000000000001,0.008,0.069,0.004,0.5691489361702128,0.869741804467653,0.9680915111378687,0.4830627099664054,0.8381201044386423,0.9566526189042746,0.4941209406494961,0.8559617058311575,0.9723058398555088
177,"/max_iter=100,std_len=5,init_mask_prob=1,temperature=10,sample=False,top_k=0",Parallel-015,0.114,0.066,0.05,0.022000000000000002,0.0,0.0,0.0,0.023954983922829583,0.050501672240802674,0.06881533101045297,0.02347266881028939,0.05234113712374582,0.07003484320557492
178,"/max_iter=100,std_len=5,init_mask_prob=1,temperature=10,sample=True,top_k=0",Parallel-015,0.009000000000000001,0.0,0.01,0.0,0.9549661555463462,0.9932751466590356,0.9988128802492952,0.9222268269097942,0.9905565889254543,0.9988128802492952,0.9338306395911038,0.9925597367291458,0.9988128802492952
179,"/max_iter=100,std_len=5,init_mask_prob=1,temperature=10,sample=True,top_k=100",Parallel-015,0.03,0.0,0.028999999999999998,0.001,0.8696726374305127,0.9919694072657744,0.9997366688610928,0.7798641136504015,0.9747609942638623,0.9961816984858459,0.772699197035207,0.981389420012747,0.9992100065832785
180,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=0.1,sample=False,top_k=0",Parallel-015,0.052000000000000005,0.003,0.069,0.005,0.4030140256639809,0.6652200867947923,0.8281199613028055,0.3255744553864518,0.6365468071915685,0.8294098677845856,0.38406445837063563,0.689398636081835,0.8652047726539825
181,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=0.1,sample=True,top_k=0",Parallel-015,0.054000000000000006,0.005,0.071,0.006,0.3991071428571429,0.6542503863987635,0.8155948553054663,0.3238095238095238,0.6310664605873261,0.8204180064308682,0.3738095238095238,0.6833075734157651,0.8577170418006431
182,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=0.1,sample=True,top_k=100",Parallel-015,0.053,0.006,0.075,0.006,0.39243965386367086,0.650307716585135,0.8160013142763266,0.3147107939881585,0.6233233391194571,0.8187941514703466,0.361317747077577,0.6758718636578823,0.8549367504517825
