,model,method,Wiki R1 Prec,Wiki R1 Rec,Wiki R1 F1,Wiki R2 Prec,Wiki R2 Rec,Wiki R2 F1,Wiki R3 Prec,Wiki R3 Rec,Wiki R3 F1,Wiki R4 Prec,Wiki R4 Rec,Wiki R4 F1,TBC R1 Prec,TBC R1 Rec,TBC R1 F1,TBC R2 Prec,TBC R2 Rec,TBC R2 F1,TBC R3 Prec,TBC R3 Rec,TBC R3 F1,TBC R4 Prec,TBC R4 Rec,TBC R4 F1
0,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=0.1,sample=False,top_k=0",Parallel-1,0.3070412999322952,0.06397686393454187,0.10588990433176794,0.13162575595873355,0.01085123542781729,0.02004958066737453,0.028792569659442723,0.0017961990111248455,0.003381448190986217,0.003596044351213665,0.00020996640537513997,0.00039676531174287786,0.3070412999322952,0.06397686393454187,0.10588990433176794,0.13162575595873355,0.01085123542781729,0.02004958066737453,0.028792569659442723,0.0017961990111248455,0.003381448190986217,0.003596044351213665,0.00020996640537513997,0.00039676531174287786
0,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=0.1,sample=True,top_k=0",Parallel-1,0.32964824120603015,0.06940819637440926,0.11467194678264007,0.13481559908240692,0.01120316738763839,0.020687226115674147,0.03,0.0018831118665018542,0.003543778192838175,0.0037213456385829114,0.00021871500559910416,0.0004131469740933222,0.32964824120603015,0.06940819637440926,0.11467194678264007,0.13481559908240692,0.01120316738763839,0.020687226115674147,0.03,0.0018831118665018542,0.003543778192838175,0.0037213456385829114,0.00021871500559910416,0.0004131469740933222
0,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=0.1,sample=True,top_k=100",Parallel-1,0.325118163403106,0.06792692389080905,0.11237528157990485,0.13462885154061624,0.011276486545934453,0.020809935386217764,0.025660607912020773,0.0016223733003708281,0.0030517977170214823,0.0031198930322388946,0.00018372060470324747,0.00034700601368921406,0.325118163403106,0.06792692389080905,0.11237528157990485,0.13462885154061624,0.011276486545934453,0.020809935386217764,0.025660607912020773,0.0016223733003708281,0.0030517977170214823,0.0031198930322388946,0.00018372060470324747,0.00034700601368921406
0,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=1,sample=False,top_k=0",Parallel-1,0.3248005319148936,0.06891443887987586,0.1137038085755129,0.13850756775783174,0.01154043551580028,0.021305682351750125,0.031307269395235184,0.0019796817058096417,0.0037238862563909905,0.0031185031185031187,0.00018372060470324747,0.00034699741249329596,0.3248005319148936,0.06891443887987586,0.1137038085755129,0.13850756775783174,0.01154043551580028,0.021305682351750125,0.031307269395235184,0.0019796817058096417,0.0037238862563909905,0.0031185031185031187,0.00018372060470324747,0.00034699741249329596
0,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=1,sample=True,top_k=0",Parallel-1,0.3622730860299921,0.09712915285321295,0.15318722550075292,0.11318281136198106,0.011393797199208152,0.020703435588295904,0.01702127659574468,0.0011974660074165636,0.0022375187336044844,0.0012298442197321673,7.873740201567749e-05,0.00014799840857359264,0.3622730860299921,0.09712915285321295,0.15318722550075292,0.11318281136198106,0.011393797199208152,0.020703435588295904,0.01702127659574468,0.0011974660074165636,0.0022375187336044844,0.0012298442197321673,7.873740201567749e-05,0.00014799840857359264
0,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=1,sample=True,top_k=100",Parallel-1,0.39052750992626206,0.09712915285321295,0.1555668498856602,0.13740005922416346,0.013608035779749249,0.02476350421076585,0.022777167947310648,0.0016030593325092708,0.0029953073242884416,0.001770393572109492,0.00011373180291153416,0.00021373204440445977,0.39052750992626206,0.09712915285321295,0.1555668498856602,0.13740005922416346,0.013608035779749249,0.02476350421076585,0.022777167947310648,0.0016030593325092708,0.0029953073242884416,0.001770393572109492,0.00011373180291153416,0.00021373204440445977
0,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=10,sample=False,top_k=0",Parallel-1,0.3393711551606288,0.07004302743880934,0.11611997611481419,0.13795518207282914,0.011555099347459491,0.021324095073392186,0.03059532780708365,0.001960367737948084,0.0036846440622820926,0.0043789227849948915,0.000262458006718925,0.0004952323117362303,0.3393711551606288,0.07004302743880934,0.11611997611481419,0.13795518207282914,0.011555099347459491,0.021324095073392186,0.03059532780708365,0.001960367737948084,0.0036846440622820926,0.0043789227849948915,0.000262458006718925,0.0004952323117362303
0,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=10,sample=True,top_k=0",Parallel-1,0.2540849673202614,0.13162164068561755,0.17341201167429585,0.000121921482565228,1.4663831659212553e-05,2.6177121903911255e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.2540849673202614,0.13162164068561755,0.17341201167429585,0.000121921482565228,1.4663831659212553e-05,2.6177121903911255e-05,0.0,0.0,0.0,0.0,0.0,0.0
0,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=10,sample=True,top_k=100",Parallel-1,0.3847301666252176,0.10912040629188122,0.17001867992908407,0.04387808723068839,0.0048977197741769925,0.008811849341708372,0.0005221932114882506,3.8627935723114953e-05,7.193340066333011e-05,0.0,0.0,0.0,0.3847301666252176,0.10912040629188122,0.17001867992908407,0.04387808723068839,0.0048977197741769925,0.008811849341708372,0.0005221932114882506,3.8627935723114953e-05,7.193340066333011e-05,0.0,0.0,0.0
0,"/max_iter=500,std_len=0,init_mask_prob=1,temperature=0.1,sample=False,top_k=0",Parallel-1,0.4943181818181818,0.006136700289200818,0.012122900893413443,0.15485564304461943,0.0008651660678935406,0.0017207185082585203,0.01603206412825651,7.725587144622991e-05,0.0001537706515830458,0.0017064846416382253,8.748600223964166e-06,1.7407853945915246e-05,0.4943181818181818,0.006136700289200818,0.012122900893413443,0.15485564304461943,0.0008651660678935406,0.0017207185082585203,0.01603206412825651,7.725587144622991e-05,0.0001537706515830458,0.0017064846416382253,8.748600223964166e-06,1.7407853945915246e-05
